종목,코드,구분,패턴,점수,RSI,12/26선,이격ATR,3봉회복배수,동시간배수,기준봉(KST),_match,scan_time
비에이치,090460,관찰,재반등,69.50463097407973,53.3,12>26,0.97,0.94,0.57,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
현대해상,001450,관찰,재반등,61.65466409516407,43.9,12>26,-0.36,1.38,1.01,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
바이오니아,064550,일치,재반등,73.05328127880944,54.0,12>26,0.59,1.61,1.54,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
비에이치아이,083650,관찰,재반등,54.98867192615857,38.8,12≤26,-1.72,0.74,0.52,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
HLB,028300,관찰,수렴돌파,61.63760275781317,46.2,12≤26,-0.16,1.36,0.57,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
한화갤러리아,452260,관찰,재반등,67.75284245439018,63.1,12>26,1.5,1.5,2.33,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
테크윙,089030,관찰,수렴돌파,34.367816091954026,31.8,12≤26,-3.09,0.51,0.7,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
신세계,004170,관찰,재반등,51.56775658916489,38.8,12≤26,-1.68,0.87,0.83,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
삼미금속,012210,관찰,재반등,64.38399165970138,52.1,12>26,-0.63,0.16,0.58,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
브이엠,089970,관찰,수렴돌파,50.822186715361774,47.4,12≤26,-0.14,0.54,1.03,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
