scan,day,code,name,score,lag,mode,trend,trigger_close,entry_open,signal_bar
2026-07-01 11:00:00+09:00,2026-07-01,241710,코스메카코리아,70.14972347370107,60,money,True,76200.0,76700.0,2026-07-01 09:00:00+09:00
2026-08-25 11:00:00+09:00,2026-08-25,241710,코스메카코리아,61.44500965317917,60,money,True,142000.0,138400.0,2026-08-25 09:00:00+09:00
2026-07-02 11:00:00+09:00,2026-07-02,035900,JYP Ent.,65.8088062910951,0,hold,False,56200.0,56700.0,2026-07-02 10:00:00+09:00
2026-07-02 11:00:00+09:00,2026-07-02,035900,JYP Ent.,69.68794114426923,60,money,False,56200.0,56700.0,2026-07-02 09:00:00+09:00
2026-04-21 11:00:00+09:00,2026-04-21,0011A0,액스비스,57.829425732604705,0,money,False,26450.0,26400.0,2026-04-21 10:00:00+09:00
2026-04-08 11:00:00+09:00,2026-04-08,004170,신세계,68.68645741856535,60,money,False,330000.0,327500.0,2026-04-08 09:00:00+09:00
2026-04-16 11:00:00+09:00,2026-04-16,004170,신세계,70.61171426443778,0,hold,True,370000.0,371000.0,2026-04-16 10:00:00+09:00
2026-04-16 11:00:00+09:00,2026-04-16,004170,신세계,72.80446260615801,60,money,True,370000.0,371000.0,2026-04-16 09:00:00+09:00
2026-01-19 11:00:00+09:00,2026-01-19,064290,인텍플러스,79.0839015424628,0,money,False,14630.0,14630.0,2026-01-19 10:00:00+09:00
2026-01-22 11:00:00+09:00,2026-01-22,064290,인텍플러스,77.59692307692305,60,money,True,15810.0,15800.0,2026-01-22 09:00:00+09:00
2026-03-19 11:00:00+09:00,2026-03-19,064290,인텍플러스,71.18129736826401,0,hold,True,17040.0,17340.0,2026-03-19 10:00:00+09:00
2026-03-19 11:00:00+09:00,2026-03-19,064290,인텍플러스,71.18129736826401,0,money,True,17310.0,17340.0,2026-03-19 10:00:00+09:00
2026-03-19 11:00:00+09:00,2026-03-19,064290,인텍플러스,79.06172349986787,60,money,True,17040.0,17340.0,2026-03-19 09:00:00+09:00
2026-04-17 11:00:00+09:00,2026-04-17,064290,인텍플러스,68.99973306127015,0,hold,True,27700.0,28250.0,2026-04-17 10:00:00+09:00
2026-04-17 11:00:00+09:00,2026-04-17,064290,인텍플러스,73.1990769230769,60,hold,True,26750.0,28250.0,2026-04-17 09:00:00+09:00
2026-04-17 11:00:00+09:00,2026-04-17,064290,인텍플러스,73.1990769230769,60,money,True,27700.0,28250.0,2026-04-17 09:00:00+09:00
2026-06-04 11:00:00+09:00,2026-06-04,064290,인텍플러스,63.23267838870222,0,money,True,43900.0,43900.0,2026-06-04 10:00:00+09:00
2026-08-18 11:00:00+09:00,2026-08-18,064290,인텍플러스,66.62356336540843,60,money,True,36000.0,35650.0,2026-08-18 09:00:00+09:00
2026-09-04 11:00:00+09:00,2026-09-04,064290,인텍플러스,76.150904544786,0,hold,True,38400.0,40500.0,2026-09-04 10:00:00+09:00
2026-09-04 11:00:00+09:00,2026-09-04,064290,인텍플러스,76.150904544786,0,money,True,40500.0,40500.0,2026-09-04 10:00:00+09:00
2026-09-04 11:00:00+09:00,2026-09-04,064290,인텍플러스,78.97454681476493,60,money,False,38400.0,40500.0,2026-09-04 09:00:00+09:00
2026-04-08 11:00:00+09:00,2026-04-08,319400,현대무벡스,72.40894442806348,0,money,False,28100.0,28150.0,2026-04-08 10:00:00+09:00
2026-07-27 11:00:00+09:00,2026-07-27,319400,현대무벡스,65.52687210647782,60,money,False,23750.0,23150.0,2026-07-27 09:00:00+09:00
2026-03-13 11:00:00+09:00,2026-03-13,141080,리가켐바이오,75.75781771834401,0,money,True,208500.0,208500.0,2026-03-13 10:00:00+09:00
2026-05-12 11:00:00+09:00,2026-05-12,141080,리가켐바이오,78.34689218085269,60,money,False,197400.0,190100.0,2026-05-12 09:00:00+09:00
2026-05-27 11:00:00+09:00,2026-05-27,141080,리가켐바이오,61.42679870930645,60,money,False,166100.0,167300.0,2026-05-27 09:00:00+09:00
2026-06-24 11:00:00+09:00,2026-06-24,141080,리가켐바이오,76.52932960234034,0,money,True,154000.0,154100.0,2026-06-24 10:00:00+09:00
2026-06-12 11:00:00+09:00,2026-06-12,232140,와이씨,67.67025266906009,60,money,False,16150.0,16100.0,2026-06-12 09:00:00+09:00
2026-01-14 11:00:00+09:00,2026-01-14,170920,엘티씨,82.61258633595902,60,money,True,22750.0,22300.0,2026-01-14 09:00:00+09:00
2026-03-25 11:00:00+09:00,2026-03-25,170920,엘티씨,67.99841577187115,0,money,True,35900.0,35800.0,2026-03-25 10:00:00+09:00
2026-04-14 11:00:00+09:00,2026-04-14,170920,엘티씨,82.12659939933351,60,money,False,30300.0,30100.0,2026-04-14 09:00:00+09:00
2026-07-01 11:00:00+09:00,2026-07-01,170920,엘티씨,71.35118590568376,60,money,False,56200.0,55400.0,2026-07-01 09:00:00+09:00
2026-01-02 11:00:00+09:00,2026-01-02,000250,삼천당제약,70.93841807036543,0,money,True,240000.0,240250.0,2026-01-02 10:00:00+09:00
2026-01-12 11:00:00+09:00,2026-01-12,000250,삼천당제약,72.87453106474658,60,money,True,265500.0,255500.0,2026-01-12 09:00:00+09:00
